start,end,text
0.0,30.259999999999998,"Alors, bonsoir à tous, bienvenue à cette vidéo. Cet écran-là. Et je prends mon retour pour être sûr. C'est bon. OK. On peut commencer ? C'est bon pour tout le monde ? Oui ? Génial. Alors, merci d'être là. Ça faisait pas mal de temps, je crois, qu'on ne s'était pas vus en visio. ça fait un petit bout de temps"
30.259999999999998,61.64,"parce qu'on a eu des déplacements des machins etc on a eu pas mal de trucs du coup on a pas mal de choses à voir alors hop là je prends mes petites notes on a plusieurs annonces à faire déjà première annonce là on va mettre en place ça c'est un outil que je vous avais montré il y a quelques temps et qui est bien finalisé c'est à dire qu'il était finalisé mais on l'a testé, on l'a beaucoup testé, on voit qu'il fonctionne très bien."
62.58,93.08,"Donc, on va pouvoir le généraliser. Cet outil, c'est une édition automatique d'attestation de mandat. Alors, je vais vous montrer ça. On va aller sur le mandat, par exemple. Hop là, on va aller en Bretagne. voici des mandats bretons je ne connais pas bien la Bretagne mais je suis sûr que c'est très chouette"
93.08,124.58,"que c'est très beau allons voir les mandats de Guy Guy qui est avec nous d'ailleurs bien écoutez, Guy je tiens à le féliciter je lui ai déjà dit au téléphone individuellement mais Guy vient de faire sa première vente sur un terrain en Bretagne donc félicitations à lui, bravo c'est en cours de préparation chez le doter donc félicitations à Guy pour sa première vente la première vente on sait tous que c'est quelque chose d'un peu particulier on s'en souvient c'est comme obtenir le permis de conduire"
124.58,158.78,"ou le bac je sais pas c'est un truc dont on se souvient donc bravo à Guy félicitations pour votre première vente c'est une très chouette nouvelle alors voici les mandats de Guy la chose que je veux vous montrer c'est un outil et 17 mandats Pierre nous dit, comment Pierre voit les maïsons ici sous les yeux ? Ben oui, alors, et 17 mandats, ce n'est pas bête ce que nous dit Pierre. Pierre nous dit, et 17 mandats, félicitations. Je vous le dis effectivement depuis tout le temps, mais en particulier depuis le début de la crise,"
158.78,190.68,"on le sait aujourd'hui, plus que jamais, le succès commercial est directement, intimement lié au nombre de mandats. Donc, vraiment, rentrez le maximum de mandats. À la différence d'avant la crise, où je vous disais qu'il faut avoir un portefeuille de mandat en nombre suffisant, et voici les ingrédients qu'il faut avoir dans votre portefeuille de mandat en termes de localisation, de type de biens, etc. Aujourd'hui, je vous dirais non, c'est la crise, vous rentrez tout ce qui passe. Tout, tout, tout, tout, tout."
190.68,225.5,"C'est beaucoup plus important d'avoir des mandats tout court, même s'ils ne sont pas super, que d'en avoir des très beaux, mais pas assez. Aujourd'hui, le marché est comme ça. Donc, bravo à vous, mon cher Guy. Alors, on va prendre quelques mandats de Guy. La chose qui est importante, c'est que l'outil que vous allez tous avoir dans votre églantine dans quelques jours, je pense vendredi soir, c'est un outil qui ne fonctionnera, et c'est volontaire, ça n'est pas un bug. c'est pour des raisons de fiabilité, que sur les mandats électroniques."
226.8,257.74,"Excusez-moi, je me suis cassé la gorge. Ça ne fonctionnera pas sur les mandats manuels, en tout cas pas dans un premier temps, peut-être que bien plus tard, si on arrive à fiabiliser la rentrée des mandats manuels, on verra. Mais pour l'instant, et c'est normal, ça a été choisi comme ça, ça ne sera que sur les mandats électroniques. De quoi s'agit-il ? Eh bien, il s'agit de l'attestation de mandat. L'attestation de mandat que vous voyez ici, généralement, vous la demandez à l'animation."
259.12,292.74,"Et l'animation vous dit, transmettez-nous la demande du notaire pour ne pas faire des attestations de mandat à tout grain, comme ça, sans véritable utilité. Aujourd'hui, vendredi soir, vous aurez dans votre réglementine un bouton qui vous permet d'éditer automatiquement l'attestation de mandat. ensuite vous faites bouton droit de la souris enregistrer sous et voyez vous l'enregistrer sur votre ordinateur directement elle est déjà bien nommé attestation underscore mandat le numéro de mandat votre prénom votre nom a envoyé par e-mail au notaire alors bien entendu vous le savez je vous le"
292.74,323.02,"répète je vous le redis je vous le rabâche on ne donne jamais le mandat l'offre le don de visite ou quoi que ce soit au notaire si vous faites de ça, vous tomberez sur des notaires qui vont mettre vos ventes en l'air. Sur la base de « j'estime que la virgule n'est pas au bon endroit, la date n'est pas écrite dans la bonne police de caractère, j'en vente à moitié » parce qu'on tombe parfois sur des notaires ou des clients"
