start,end,text
0.0,30.759999999999998,"Bonjour à tous, à toutes bien entendu, parce que vous êtes des messieurs et des dames. Donc bienvenue à cette visioconférence, maintenant qu'on a réglé nos petits problèmes de micro. Alors n'hésitez pas à me dire si vous m'entendez bien ou si vous m'entendez mal. Bonjour Michel, bonjour Maryse. Si vous m'entendez bien ou si vous m'entendez mal, faites-le-moi savoir. Normalement, confirmez-le-moi, le son doit être un tout petit peu moins bon que d'habitude. Mais vous devez m'entendre en fait comme avant Avant qu'on utilise les nouveaux micros"
30.759999999999998,63.720000000000006,"Les nouveaux micros que nous utilisons depuis l'automne dernier Depuis fin octobre, quelque chose comme ça, mi-fin octobre Là je ne sais pas pourquoi, les pilotes doivent être réinstallés C'est ce que nous allons faire Donc le son est tout à fait correct, nous dit Eric Et Jackie nous confirme que c'est un peu moins bon L'essentiel c'est que, comme le dit Eric, ce soit correct Et que vous puissiez m'entendre Alors aujourd'hui, on va voir un certain nombre de choses, des choses différentes d'ailleurs, des choses pas mal différentes."
65.04,97.34,"Je copie ça et je le mets ici sur mon petit pense-bête pour que je n'oublie pas tout. La première chose que j'aimerais que nous voyons, c'est une question, enfin, on ne va pas traiter la question là, mais est-ce que vous puissiez me confirmer que la question que je vais vous citer n'a pas encore été traitée, Ou est-ce que je suis zinzin ? Est-ce que je perds la boule ? Et est-ce que cette question a déjà été traitée ? C'est une question qui avait été posée par Michel, en Bourgogne, qui nous demandait la chose suivante."
97.78,130.38,"Quand des vendeurs sollicitent plusieurs agences, nous sommes porteurs d'un mandat simple. Des acquéreurs visitent le bien avec deux agences et finissent par faire une offre d'achat avec l'agence qui a fait la visite en deuxième. Est-ce que c'est possible ? Est-ce que ce n'est pas possible ? Etc. Est-ce qu'on a traité cette question ou est-ce qu'il faut qu'on la traite aujourd'hui ? donc merci de me dire si cette question elle est claire pour tout le monde le son est bon, le son est top, parfait alors Pierre nous dit ça on l'a déjà fait alors qu'on l'ait déjà fait"
130.38,161.70000000000002,"ça je suis certain qu'on en a déjà parlé parce que ça fait partie des questions récurrentes il y a un certain nombre de thèmes dans notre métier qui reviennent régulièrement parce que vous y êtes confronté à un moment ou à un autre et parfois dans des circonstances différentes, distinctes. Donc ce sont des questions qu'on traite régulièrement. Ma question c'est, est-ce qu'on l'a traité vraiment sur la question de Michel, formulée comme ça, et est-ce que les uns et les autres vous êtes à l'aise avec cette question,"
161.92000000000002,194.64000000000001,"ou est-ce que vous voulez qu'on revienne dessus ? En fait la question est la suivante, lorsqu'un acquéreur va visiter le même bien avec plusieurs agences immobilières, Que se passe-t-il ? Avec qui ? Peut-il ou doit-il acheter ? Est-ce qu'il est verrouillé dans un sens, verrouillé dans l'autre ? Est-ce que tout le monde est parfaitement au clair avec cette question-là ? Ou est-ce qu'il faut qu'on la traite à nouveau ? C'est plutôt ça ma question. Michel dit « La réponse n'a pas été très claire. »"
194.64000000000001,229.62,"Catherine dit « On en a parlé. » Eric dit « Pas traité récemment, à mon sens. » En fait, bonjour Sandrine, il faut que je vous aie au téléphone, j'ai essayé de vous appeler, vous avez demandé à ce que je vous rappelle le lendemain, je ne pouvais plus, il faut que je vous aie au téléphone aujourd'hui Sandrine, donc aujourd'hui on va en parler. Alors, les uns et les autres, là, il faut me répondre. Vous me dites oui ou non. Tiens, il y a un truc de sondage. On ne l'a jamais utilisé, le truc de sondage. Lancez des sondages pendant votre webinaire. Bon, on va essayer ça."
229.62,262.02,"Doit-on reparler de la visite d'un bien avec plusieurs agences ? Type de réponse ? Choix multiple. Oui, parlons-en. Non Passons à autre"
262.02,292.96,"Chose On va voir si ça marche C'est la première fois qu'on utilise ce truc là Ajouter Démarrer Là vous avez un sondage qui s'affiche Sur votre ordinateur Je le vois Je vous demande s'il vous plaît De répondre Alors, vous êtes en train de voter. Là, je le vois en temps réel. Non, non, mais regardez, je ne bluffe pas. Là, vous voyez, en temps réel, je vois les trucs qui... Ah ben, je crois que vous..."
292.96,325.06,"C'est clair, hein ? Vous voulez qu'on en reparle. Voilà. Je crois qu'on va en reparler. Ah, c'est super cet outil. Ah, c'est génial. Je sais qu'une fois, il y a longtemps, on voulait faire un sondage. On avait essayé, on avait bricolé. C'était peut-être avec l'ancien outil de visioconférence. C'est tout à fait possible. Et ça n'avait pas marché. Enfin, je n'avais pas réussi, en tout cas. Je ne vais pas dire que ça n'avait pas marché. Je veux dire que je n'avais pas réussi. Bon, on va en reparler, parce que vous voyez, à 85%, vous voulez qu'on en reparle. Bon"
325.06,357.04,"Allez je vous laisse encore 5 secondes 5 4 3 2 1 Vous êtes 14 votants Publiez le résultat Voici le résultat Donc On va en reparler Parfait Bah écoutez Ce truc là ça marche Très bonne chose Attendez je mets mon machin là Pour que Mathieu puisse me dire Quand je vous dis des bêtises Parce que j'ai toujours Mathieu qui est aux aguets, pré-MDIRSTOP, vous dites n'importe quoi, il faut vous faire taire."
358.14,388.26,"Donc, j'ai mon petit machin. Parfait. Donc, on va parler de cette question dans quelques instants. Alors, vous pouvez fermer le truc résultat du sondage avec la petite croix. Voilà. La petite fenêtre. Et moi, je retourne aux questions-réponses que vous me posez. Alors... parce qu'on a d'autres choses à voir juste avant."
392.3,428.06,"Alors, déjà, une petite chose qui est importante, c'est que là, je constate que vous n'êtes pas très nombreux aujourd'hui. Vous êtes, je vais être très clair avec vous, déjà, là, vous avez vu, vous étiez 14 votants. Si j'enlève moi, j'enlève mon retour, Pierre Beignard, Mathieu, vous êtes 16 aujourd'hui, on va voir ce qu'il en sera à la fin de la"
428.06,467.15999999999997,"visioconférence, vous êtes 16, ça c'est une chose dont je vous ai déjà parlé plusieurs fois, j'ai fait le récapitulatif du nombre de participants, je ne parle pas du nombre d'inscrits, du nombre de participants effectifs aux visioconférences entre lorsque les visioconférences avaient lieu le jeudi soir et depuis la rentrée scolaire où les visioconférences ont lieu le jeudi matin. Et je vois que, effectivement, depuis environ décembre, novembre, décembre,"
467.97999999999996,499.28000000000003,"il y a de moins en moins de monde qui vient le jeudi matin. Et ça fait une différence importante parce que, normalement, en moyenne, lorsqu'on était le soir, vous étiez entre 40 et 50 en moyenne alors il y avait des pics, vous étiez 70 80, 90, 100, 120 selon les thèmes et selon le fait que cette visio soit obligatoire ou pas obligatoire et vous savez que ce sont des visios"
499.28000000000003,535.3,"facultatives, elles ne sont absolument pas obligatoires, vous y venez si vous souhaitez vous n'y venez pas si vous ne le souhaitez pas il y a dans ces visios un noyau dur c'est à dire une équipe de gens qui sont toujours là, qui sont toujours là, qui viennent à chaque fois, quasiment à chaque fois, sauf exception. Ce sont des gens qui sont là, comme Corinne, par exemple, comme Pierre, etc. Il y a toujours des gens qui sont là à chaque fois. C'est le noyau"
