start,end,text
0.0,34.86,"C'est bon. Bonjour à tous et à toutes, bien entendu. Pas de discrimination ici. Oh là là. Bienvenue à cette visio avec un petit peu de retard parce que je n'arrivais pas à brancher le micro. Je ne sais pas pourquoi. Donc, vous m'entendez bien. Normalement, on peut commencer. Alors, bien entendu, si vous avez des questions, des interrogations, n'importe quoi, vous participez par le chat, vous le savez. Désormais, vous êtes amplement habitués. On a pas mal de choses à voir aujourd'hui. pas mal de choses à voir, des questions qui ont été remontées à l'animation par certains"
34.86,66.6,"d'entre vous, que nous allons traiter ensemble, premièrement parce que je n'ai pas réussi à joindre certains d'entre vous, c'est le cas de Séverine et de Sandrine, et puis également tout simplement parce que ce sont des questions qui vous intéressent tous, donc on va traiter ça. Alors on a pas mal de choses à voir, dans l'ordre, je ne sais pas ce que vous souhaitez traiter en premier, on a plein de choses. Est-ce que vous voulez qu'on parle du logement décent en premier ? On a une question sur le fonds travaux allure de Séverine."
67.22,100.39999999999999,"On a pas mal de choses, pas mal de choses. Les prochaines modifications du RGPD pour les cookies, on peut parler de plein de trucs. Alors, puisque vous ne vous manifestez pas, vous n'avez visiblement pas de préférence, ou alors vous êtes tous endormis devant votre écran, ce sont les éléphants qui vous ont endormis, je vous propose de commencer avec le logement décent. Le logement d'essence, c'est une notion qu'on a déjà abordée un certain nombre de fois Donc je vais sortir un petit fichier Word Le logement d'essence, c'est une notion que vous connaissez"
100.39999999999999,142.06,"Peut-être pas dans sa précision, mais que vous connaissez parce qu'on en a déjà parlé plusieurs fois Et parce que, normalement, vous en entendez parler de temps en temps par les notaires Pourquoi de temps en temps par les notaires ? Parce qu'on en parle dans chaque compromis Et dans chaque compromis de vente que vous faites, il est dit que le vendeur déclare que le logement correspond aux critères de la décence, aux critères d'un logement décent. L'autre endroit où vous avez pu en entendre parler, c'est avec le DPE, parce que les récentes réformes du DPE, récentes, c'est-à-dire celles des dernières années qui viennent de s'écouler, ont inséré le DPE dans la notion de logement décent."
142.06,173.9,"Ça, ça a été la dernière modification sur les notions de logement décent. Alors, qu'est-ce que c'est le logement décent ? C'est une notion de décence, bien sûr, selon laquelle un logement pourrait être décent ou indécent. Et ça veut dire quoi ? Ça veut dire habitable ou non habitable. Alors, décent, on sait tout ce que ça veut dire, pas besoin de définir ce mot-là. quelque chose qui est indécent c'est quelque chose qui est inacceptable"
173.9,215.6,"et un logement qui serait indécent serait inacceptable et donc ne serait pas habitable alors lorsque ce n'est pas un logement ça ne pose pas de soucis si vous vendez une grange, si vous vendez une remise de stockage si vous vendez je ne sais pas une étable ou une écurie ça n'est pas un logement, ça n'est pas une habitation ça ne doit pas correspondre aux critères des logements décents Par contre, lorsque l'on parle d'une maison, lorsque l'on parle d'un appartement, lorsque l'on parle tout simplement d'un logement, ce logement doit être décent, il doit correspondre aux critères du logement décent."
215.6,253.6,"Alors, c'est un certain nombre de critères qui sont listés, parce qu'on n'évalue pas ça à vue de pif en disant « Oh, ça c'est indécent, ça ne me plaît pas ». Non, il y a des critères, c'est le principe de l'administration et de la loi. Si les critères sont remplis, le logement est décent. Si les critères ne sont pas remplis, le logement n'est pas décent. Tout simplement, c'est aussi simple que ça. Donc vous le comprenez, cette notion a une importance parce que qu'un logement soit habitable ou pas, soit rendu habitable ou pas, ça a des conséquences importantes sur nos ventes. Pourquoi ?"
253.6,284.44,"Imaginons que mon appartement ou ma maison ne correspondent pas aux critères du logement décent, en gros que ce soit un taudis. Mon appartement, ma maison, a plusieurs critères qui ne sont pas dans les clous. Qu'est-ce que ça implique ? C'est mon problème puisque c'est mon appartement, ma maison, si c'est moi premièrement qui le possède, en suis propriétaire, et si c'est moi deuxièmement qui l'habite. Je suis propriétaire de ma maison, je l'habite,"
284.94,316.18,"cette maison est indécente, elle ne correspond pas aux critères que nous allons voir dans un instant, il n'y en a pas beaucoup, c'est tout simple, Et puis, vous allez voir, quand on va les lister, vous allez dire, ah ben oui, mais je les connaissais, bien sûr. Ce n'est pas grave, c'est moi-même. Là où ça se complique, c'est lorsque je loue cet appartement ou je le prête à titre gracieux. C'est pareil. Parce que vous savez que si je prête un logement à titre gracieux à quelqu'un, ce n'est pas parce qu'il n'y a pas de paiement de loyer que ça ne doit pas correspondre aux critères de la location."
316.82,347.08,"Absolument pas. donc si je loue cet appartement ou cette maison à quelqu'un d'autre et que ce logement n'est pas décent là par contre on est en infraction avec la loi on est en infraction avec la loi parce que tout logement, logement je le dis bien si je loue une grange à un agriculteur c'est pas pareil du tout tout logement que je loue à quelqu'un doit correspondre au critère de logement décent sinon il n'est pas habitable cette personne je ne peux pas la faire habiter dedans c'est là que ça se complique, si c'est"
