start,end,text
0.0,35.08,"Ça, ça va être un gros morceau, et un morceau qui ne va pas vous plaire. Pourquoi ? Parce qu'il fait peser sur nous, et sur tous les professionnels de l'immobilier, des nouvelles obligations. Alors vous me direz, certains réseaux, comme SAFTI par exemple, les appliquaient déjà depuis plusieurs années. Oui. Nous partons du principe qu'à partir du moment où les autorités, que ce soit la DGCCRF, que ce soit Bercy,"
35.6,65.84,"alors on dirait que la DGCCRF dépend de Bercy, oui, mais là c'est une cellule spécifique de Bercy, que ce soit les tribunaux, n'importe qui, ne nous imposent pas une obligation, on ne vous casse pas les pieds avec. Donc tant qu'on ne nous dit pas officiellement maintenant vous devez impérativement suivre l'obligation suivante, on vous fiche la paix, on vous laisse tranquille. Par contre, à partir du moment où on nous dit officiellement cette obligation maintenant vous l'appliquez, à ce moment-là on vous la répercute."
67.46000000000001,98.9,"SAFTI, ils sont plutôt en avance sur ce genre de choses. Ils étaient en avance sur les DPE. Pendant longtemps, nous on ne vous a pas cassé les pieds avec les DPE, on vous a laissé tranquille. tranquille, alors que SAFTI, qui là-dessus fait vraiment figure de bon élève. SAFTI, ça fait très longtemps qu'ils imposent les DPE à leurs négociateurs pour chaque mandat. Nous, on vous a fichu la paix pendant longtemps parce que la DGCCRF nous a fichu la paix. Le jour où la DGCCRF, c'était il y a quelques années, c'était il n'y a pas 4-5 ans, nous a dit maintenant c'est"
98.9,137.6,"DPE pour chaque mandat et pas de discussion, à ce moment-là on vous a dit maintenant c'est DPE pour chaque mandat et pas de discussion. Mais on vous a fichu la paix pendant des années. Les obligations traque-fin qu'on va voir aujourd'hui, je sais que SAFTI, typiquement, là encore, bon élève, les applique, et les applique d'ailleurs avec beaucoup de rigueur, depuis de nombreuses années. Nous, comme on nous fichait la paix, on vous fichait la paix. Aujourd'hui, on ne nous fiche plus la paix, donc on va être obligé de mettre ça en place, là tout de suite, à très court terme, puisque nous, nous avons été alertés par Bercy en février."
137.7,171.04,"Là, nous sommes en avril, le temps de préparer un certain nombre de choses. Pas seulement préparer cette vidéo, préparer également la manière dont on va organiser ça dans notre processus. Alors, les obligations dont je vous parle, elles vont se mettre en place tranquillement là, au cours du mois de mai, avec plus ou moins de rigueur, le temps que ça rentre en place, on se donne un bon mois. Par contre, au 1er juin, 100% des mandats sera concerné."
171.6,212.46,"Ça veut dire que là, on va faire de la pédagogie, on va vous expliquer, on va vous dire non, il nous faut tel document, allez-nous le chercher, obtenez-le. Vous ne l'avez pas tout de suite ? Bon, on se donne un petit peu de temps, pas de problème. Par contre, au 1er juin, ce sera pour tous les mandats. Alors, ce n'est pas une obligation à la lucarne, comme je vous disais, c'est une obligation pour tous les professionnels de l'immobilier. La lucarne va l'appliquer à partir de maintenant. Si vous étiez chez Safti, vous l'appliqueriez déjà depuis plusieurs années. La Bersi, c'est-à-dire la cellule Tracfin à Bersi, a décidé en février de le faire appliquer à tous les professionnels de l'immobilier sans la moindre exception."
213.12,248.18,"Tous ceux qui n'étaient pas déjà conformes doivent se mettre en conformité à très court terme. Alors, Tracfin, qu'est-ce que c'est ? La plupart d'entre vous, vous savez, parce que vous avez déjà fait beaucoup de formations TRACFIN les années précédentes, notamment dans le cadre des formations Allure. Mais pour les plus récents d'entre vous, qui sont arrivés dans le réseau il y a moins longtemps, on va refaire un petit tour très rapide sur TRACFIN. Qu'est-ce que c'est ? C'est une cellule spécialisée au ministère des Finances à Bercy"
248.18,282.08,"qui cherchent à détecter et à poursuivre les détournements financiers susceptibles de représenter du blanchiment d'argent sale, en particulier l'argent de la drogue, le financement du terrorisme et des activités criminelles. C'est à ça que sert TRACFIN. Alors TRACFIN, c'est un organisme qui est ancien, j'ai toujours connu ça moi. C'est très ancien, mais ils prennent de plus en plus d'importance, de plus en plus d'importance."
282.62,331.76,"C'est une cellule de Bercy qui a des pouvoirs très étendus, des pouvoirs de police qui travaillent très étroitement avec les douanes et avec les tribunaux. Leur travail, en fait, c'est de détecter les flux financiers qui financeraient le crime ou le terrorisme. En gros, chercher et trouver l'argent sale. C'est ça, Traclin. Et l'immobilier, c'est un des moyens, il y en a beaucoup, énormément, c'est un des moyens de financer des opérations qui ont l'air légales avec de l'argent sale."
331.76,363.62,"que je vous explique très rapidement en quoi consiste le blanchiment. On en a déjà parlé, bien sûr. On en reparle maintenant. Le blanchiment consiste à prendre de l'argent sale, par exemple de l'argent gagné avec le commerce de la drogue ou des arbres ou de que sais-je encore, ou de voitures volées ou de prostitution, de l'argent obtenu illégalement, donc dont on ne peut pas justifier de la provenance auprès des autorités. on a de l'argent pas propre"
