start,end,text
0.0,52.34,"Alors bonjour à tous et bonjour à toutes, bien entendu, puisque là normalement tout le monde doit être connecté. Donc bienvenue à cette vidéo du jeudi matin. On va voir pas mal de choses aujourd'hui, pas mal de choses. On a plein de petits thèmes et des thèmes un petit peu plus grands que vous nous avez soumis pour la plupart. Alors il y a des rappels liés à l'animation du réseau, etc. Mais la plupart des questions que nous allons traiter, ce sont des questions que vous nous avez posées, donc vraiment, je reviens là-dessus régulièrement, posez-nous plein de questions à l'animation générale, comme ça, et nous, nous les traitons ici, parce que ça permet de vous répondre à vous, qui nous avez posé la question, mais ça permet d'informer tous les autres également, pour qui ça peut être un rappel d'un truc qui a été oublié, une précision de quelque chose qui a été vu trop rapidement, ou tout simplement, l'occasion d'apprendre quelque chose de nouveau."
52.34,87.64,"Alors, la première chose dont nous allons parler, alors là, vous le voyez, on ne le rate pas, je vais même zoomer, les modifications des grilles tarifaires, alors j'en ai déjà parlé à la dernière visioconférence, vous vous en souvenez, modifications des grilles tarifaires auront lieu la première semaine de 2026 uniquement, et là, vous voyez, je le dis de manière très claire, il n'y aura aucune exception, aucune, pourquoi ? Parce qu'il y a tout au long de l'année, tout au long de l'année, des agents qui nous disent « Ah, j'aimerais modifier ma grille, s'il vous plaît. »"
87.64,120.75999999999999,"On est en juin, on est en août, on est en septembre. « J'aimerais modifier ma grille d'honoraire, s'il vous plaît. » Alors on se dit « Qu'est-ce qui se passe ? Pourquoi ? » Pour certains, ce sont des agents qui s'aperçoivent que leur grille, tout simplement, n'est pas parfaitement optimisée. ils se rendent compte que non, il y a 2-3 trucs à changer c'est pas optimisé par rapport à mon business j'aimerais changer 2-3 petites choses mais dans la plupart des cas en fait et c'est exactement ce qu'il faut éviter comme la peste"
120.75999999999999,155.74,"parce que là c'est une fraude dans la plupart des cas, ce sont des agents qui disent oui mais là je dois prendre un mandat Et du fait de ce mandat que je dois prendre, à cause de mes concurrents, à cause du fait qu'avec le client, là, je peux prendre plus ou je dois prendre moins ou n'importe quoi, là, je dois prendre un mandat pour lequel je dois modifier ma grille. Et ça, c'est une fraude. C'est une fraude au droit de la consommation et au droit de la concurrence."
156.32000000000002,188.29999999999998,"C'est une fraude pourquoi ? Eh bien, parce que c'est exactement ce que la DGCCRF déteste. Mais pourquoi la DGCCRF déteste-t-elle cela ? Parce que c'est exactement comme ça qu'on arnaque nos clients. Alors vous, vous vous dites, j'arnaque personne, je ne suis pas malhonnête, moi. Je ne demande à personne, je ne raconte pas de craques. J'arnaque absolument personne. Si, à partir du moment où vous avez une grille tarifaire et que, pour un mandat, vous dites « Tiens, à cause de ce mandat,"
189.07999999999998,220.82,"je dois modifier ma grille à la hausse ou à la baisse », c'est une fraude. C'est exactement comme si je vendais des télévisions. J'étais marchand de télé. Je vendais des télévisions 500 euros. Et là, un jour, je vois arriver un client, je me dis « Tiens, lui, je peux lui prendre 600 parce que lui, il va accepter de payer 600. » Et hop, je change l'affichage des prix de mes télévisions et je les mets à 600 euros au lieu de 500. vous doutez bien que ce client je l'arnaque je suis en train de l'arnaquer parce que mon tarif normalement c'est 500"
220.82,252.32,"et là je me dis tiens lui le pigeon je vais lui mettre 600 dans le pif ou à l'inverse parce que là vous pourriez dire ah bah non mais là vous augmentez vos prix Nicolas c'est normal qu'on considère ça comme une arnaque mais si c'est pour les baisser là c'est pas une arnaque c'est à son bénéfice le client et bien on va se transposer imaginons donc que j'ai des télévisions à 500 euros et que là, je vois arriver un client et puis le client, il me dit « Non, ce ne sera pas 500, ce sera 400. » Je ne dis pas « Non, monsieur, les télés, elles sont à 500 euros,"
252.6,287.08,"elles ne sont pas à 400. » « Oui, oui, mais moi, je décide que ce sera 400. » « Ah, bon, écoutez, je vais baisser mes grilles et je vais les vendre à 400. » Vous dites « Ah, ben là, dans ce cas-là, c'est au bénéfice du client, donc il n'y a pas d'arnaque. » Si, c'est une arnaque pour tous les clients qui sont venus les jours d'avant et qui les ont achetés 500 euros. Eux, ils se font arnaquer à ce moment-là. parce que ce client, lui, parce qu'il arrive à me tordre le bras dans le dos, il arrive à m'imposer sa volonté, eh bien il me contraint de ce fait à arnaquer les clients passés qui, eux, ont payé le vrai tarif."
288.7,324.88,"Lorsque je rentre dans une boulangerie, les prix sont affichés. Lorsque je vais dans un restaurant, les prix sont affichés. Lorsque je rentre chez Darty pour acheter une télévision, un ordinateur ou une trottinette électrique, les prix sont affichés. Et les prix qui sont affichés, ce sont les prix qui sont payés par les clients. Si on déroge au prix, on ne respecte pas la grille tarifaire, on prend un risque juridique. Mais si on va maquiller la baisse de prix ou la hausse de prix en changeant carrément les grilles, là, c'est une fraude."
324.88,355.16,"Donc c'est une fraude, ça mérite la prison. On l'a déjà vu il y a quelques semaines lorsqu'on a étudié la responsabilité de l'agent immobilier notamment, vous vous en souvenez. Donc ça veut dire que modifier sa grille d'honoraires au cours de l'année pour pouvoir s'adapter à la concurrence, s'adapter à un mandat, s'adapter aux circonstances, c'est absolument interdit. Donc, chaque année nous avons des agents qui viennent nous supplier de faire des exceptions"
355.16,386.09999999999997,"Nous, ça nous met, alors vous aussi, mais vous ne le voyez pas Parce que comme je vous l'ai dit souvent, les risques de contrôle, les risques juridiques Vous, vous ne les voyez pas parce que ce n'est pas vous qui subissez les contrôles Nous, en tout cas, nous prenons un risque très important d'amende Et puis ça peut aller plus loin, on l'a vu l'autre jour, ça peut être des dommages d'intérêt Et puis, ça peut être aussi la fermeture de la boîte. On peut très bien nous dire, écoutez, visiblement, vous ne souhaitez pas respecter la loi. Donc, la loi va vous contraindre."
386.58,418.2,"Désormais, vous n'êtes plus agent immobilier. Vous allez faire autre chose de vos journées. Le risque, en fait, ce risque-là, oh, Nicolas, vous exagérez. Vous en rajoutez des tonnes. Mais je vous ai montré un certain nombre de cas où c'est arrivé, ça. Des vrais cas avec des vrais réseaux, des vraies agences immobilières. Elles ont fermé parce qu'elles ne respectaient tout simplement pas la loi On a d'ailleurs un autre cas Est-ce que Mathieu me l'a bien mis ? Non, apparemment Mathieu ne l'a pas mis C'est pas grave, on va en parler quand même"
418.2,448.46000000000004,Il faut que je le note ici Voilà Parce qu'on en a parlé encore hier soir avec Mathieu Mais il ne l'a pas noté dans le petit fichier on parlera éventuellement tout à l'heure si on a le temps encore d'un cas c'est vraiment un cas d'école parfait de tout ce qu'on vous dit tous les jours et puis les agents n'y croient pas c'est des trucs inventés par l'animation pour nous faire peur comme on fait peur aux enfants
448.46000000000004,480.24,"avec le croque-mitaine on en parlera vous verrez tout à l'heure si on a le temps avec toutes les choses qu'on a à voir donc les grilles de tarifs vous aurez la possibilité de les modifier du 1er au 10 janvier, comme tous les ans. Mais après, il n'y aura plus d'exception. Alors, on vous en reparlera. On enverra un e-mail à tout le monde comme on le fait chaque année. Et on mettra également ici,"
