start,end,text
0.0,36.84,"Aujourd'hui, on va étudier la déontologie des agents immobiliers, cadres législatifs, principes, relations professionnelles et sanctions. Premièrement, on va commencer par introduire le principe de la déontologie et expliquer quelles en sont les sources législatives et réglementaires. J'ai mis cadres législatifs pour faire plus court, mais en fait, ces législatifs et réglementaires, vous le savez, la source de toutes les règles que nous appliquons quotidiennement, pas que la loi législative ça veut dire la loi l'ex l'église on l'a pas c'est la loi il ya"
36.84,68.2,"également les arrêtés les décrets ce qu'on appelle ça nous cadre réglementaire il ya également les constitutions les prôner les traités internationaux ça est plein plein plein de ce qu'on appelle des normes de sources normatives différentes dans le droit positif qui s'impose à nous donc quand Quand je mets cadre législatif, il faut que ça se limite pas uniquement à la loi. Alors, quel est l'objectif ? Ça c'est très important, pourquoi ? Parce que, avant la déontologie, ceux d'entre vous qui nous ont rejoints il y a 10, 15, 20 ans,"
68.3,108.92,"enfin pas il y a 10 ans, parce que maintenant on arrive en 2025, et vous allez voir que ça a été introduit en 2015. Donc on va dire, ceux d'entre vous qui nous ont rejoints il y a 15 ans, il y a plus de 10 ans, donc, vous diront, « Ah bah oui, mais il n'y avait pas de déontologie à l'époque, quand j'ai rejoint la lucarne, on n'a jamais parlé de déontologie ». Oui, ça n'existait pas. La loi Allure a instauré une obligation déontologique dans les professions immobilières qui, jusqu'à présent, n'en avaient pas. Donc, il a fallu, dans un objectif de mieux réglementer la profession et les rapports entre les professionnels et leurs clients,"
108.92,139.5,"instaurer un code de déontologie des agents immobiliers. Alors, la déontologie, qu'est-ce que c'est ? Bien souvent, on confond déontologie et éthique. C'est-à-dire, on croit que la déontologie, c'est en fait un code de bon comportement, un code de conduite. Non, la déontologie, c'est un code de conduite, c'est un code de bon comportement obligatoire. parce que l'éthique"
139.5,172.8,"la morale elle est à géométrie variable, chacun à la sienne et on applique, c'est comme la politesse on a tous on applique la politesse à des degrés divers c'est pareil, l'éthique et la morale on l'applique à des degrés divers en fonction de ce qui est important pour nous pour chacun d'entre nous la déontologie ça n'est pas le cas la déontologie c'est pas un bon comportement qu'on adopte ou qu'on adopte pas ou dont on adopte certains des aspects et pas d'autres. La déontologie, elle s'impose à nous comme la loi,"
173.38,212.3,"comme le code pénal, comme le code civil, comme le code de la route, comme le code du travail. Ça s'impose à nous alors, ça n'empêche pas certaines personnes d'enfreindre les lois et les règles déontologiques, mais elles sont obligatoires. Celui qui enfreint les règles déontologiques, il commet une faute, il commet une infraction. C'est pas comme la politesse, quelqu'un qui se tient mal à table. Excusez-moi, je m'étouffe. Quelqu'un qui se tient mal à table, on le regarde avec les gros yeux en disant « lui, il se tient mal à table, c'est un grossier personnage ». Et ça s'arrête là. Non. Enfreindre les règles déontologiques, c'est comme enfreindre la loi, ça emporte des sanctions."
212.3,259.5,"Alors, était-il nécessaire absolument dans le cadre législatif des agents immobiliers français d'introduire un code de déontologie ? Ça c'est une question qu'on peut se poser, ce n'est pas absolument forcément la première chose et la plus importante à faire, parce que vous allez voir que la déontologie reprend les obligations légales préexistantes, ça n'a pas une très très très grande utilité. Soyons clairs, il y avait une grande pression de la FNAIM, de l'UNIS, c'est-à-dire des grands représentants des professions immobilières et de ceux qui s'autodécrètent des représentants des agents immobiliers français."
259.5,312.24,"Il y avait une volonté de redorer un petit peu le blason des agents immobiliers en essayant, ça fait très longtemps que notamment la FNAIN fait ça, ça fait très longtemps qu'ils essayent de faire passer les agents immobiliers pour non pas une simple profession commerciale, comme le serait un vendeur de voiture, mais comme une espèce de profession juridique, économique, avec un petit peu plus de lustre. En gros, c'est de se rapprocher des notaires et des avocats et de se dissocier des simples vendeurs de quelque chose. En adoptant un code de déontologie, ils ont voulu participer, en faisant adopter un code de déontologie, participer à l'amélioration de l'image des agents immobiliers en France. Je ne sais pas si ça a beaucoup marché. On pourrait discuter très longtemps de l'image des agents immobiliers français. Ce n'est pas le sujet ce soir."
312.24,343.47999999999996,"mais il y avait quand même un objectif d'image, beaucoup de la part de l'AFNAIM, de l'UNIS, de ses représentants. Donc, la déontologie, c'est une discipline éthique, mais surtout juridique, qui prend une importance, on dit fondamentale, mais pas tellement, dans la régulation des professions immobilières, des professions immobilières d'aujourd'hui, alors qu'auparavant, seule la loi définissait les relations entre elles et avec les clients."
344.2,382.84,"Elle impose aux agents immobiliers des règles absolument impératives qui encadrent leurs pratiques professionnelles pour protéger les clients, les partenaires commerciaux et réguler les transactions du marché immobilier. Voici exactement le texte qui avait été proposé au moment de la loi Allure. On va en parler dans un instant. Donc, cette déontologie, aujourd'hui, maintenant qu'elle est en place, elle s'impose à tous les agents immobiliers, qu'ils soient polis ou mal polis, qu'ils se tiennent bien à table ou pas, c'est un code de conduite qui s'impose à tous, qu'on le veuille ou qu'on ne le veuille pas, qu'on est signé ou pas."
382.84,430.21999999999997,"Alors, déjà, d'où vient cette obligation de déontologie ? Elle vient de la loi Auguet, avant tout. La loi Auguet qui, en 1970, une loi qui s'applique toujours aujourd'hui alors que la vie économique, technique, technologique a beaucoup, beaucoup, beaucoup évolué depuis. La France est un des derniers pays à avoir une législation qui encadre les professions immobilières aussi anciennes. La plupart des pays d'Europe, je ne vais pas dire du monde, mais au moins d'Europe, ont entièrement revu leur législation immobilière dans les années 2000, ne serait-ce que pour les mettre à jour de la révolution technologique d'Internet et de l'informatique."
430.22,461.18,"En France, non. On a essayé de mettre des rustines, pas droite à gauche, notamment le décret de 2005 portant à l'adaptation des professions immobilières aux nouvelles technologies. Mais ça ne va pas très très très très loin. Il faudrait tout refaire de A à Z en réalité. Là, on a une espèce de millefeuille qui se superpose et vous allez voir que le code de déontologie, je ne vais pas dire qu'il télescope, mais il vient s'entrelacer avec les dispositions légales déjà en place précédemment. donc la loi au guet détermine"
461.18,515.4,"un certain nombre d'obligations qui s'imposent aux agents immobiliers notamment des obligations de conditions d'accès à la profession il faut avoir certains diplômes il faut avoir un casier judiciaire vierge d'un certain type de condamnation etc la loi au guet encadre qui peut devenir agent immobilier et comment l'agent immobilier va devoir faire son travail comment il va devoir s'y prendre notamment en mettant en place un certain nombre de verrous permettant aux autorités, principalement la DGCCRF, mais pas seulement, notamment avec la création du CMTGI dont nous parlerons dans quelques minutes, permettant de contrôler et on peut dire clairement de fléquer leur activité pour vérifier, non pas s'ils s'y prennent bien, mais aller vérifier, chercher les fautes."
515.4,547.0600000000001,"en gros il y a une espèce de présomption de culpabilité de l'agent immobilier donc on met en place des verrous pour aller chercher les fautes qu'ils ont commises dans leur activité quotidienne c'est marrant, ça inverse un petit peu la charge de la preuve on part pas du principe que vous faites bien votre travail et puis si ça tourne mal ça va barder pour vous on part du principe que vous le faites mal voilà pourquoi on met des verrous le numéro de mandat, la date du mandat le registre des mandats, le registre des actes toutes ces choses là qui ont été mises en place par la loi Oguet pour, on peut le dire clairement,"
547.48,579.6600000000001,"fliquer, contrôler, traquer les actions des agents immobiliers dans leur activité quotidienne. Elle a instauré une carte professionnelle qui est impérative pour exercer illégalement. Cette carte professionnelle ne vous est délivrée que si vous avez certains diplômes dans certaines matières, si vous avez des diplômes en droit, en économie, en gestion, si vous êtes ingénieur, c'est super d'être ingénieur, mais vous n'y avez pas le droit, c'est un petit peu normal, On ne voit pas le rapport entre la thermodynamique et l'immobilier. Donc, quels sont les diplômes qui vous ouvrent droit à la profession, etc."
580.08,612.68,"Ces obligations préalables à l'exercice visent normalement à protéger les consommateurs contre les mauvaises pratiques des agents immobiliers, notamment en matière de garantie financière, garantie financière qui n'est plus une obligation depuis 2005, qu'à condition que les agences immobilières s'engagent à ne pas manipuler de fonds. On ne va pas trop rentrer dans le détail de ça, mais vous savez que les agents immobiliers, lorsqu'ils s'assignaient un compromis de vente, moi je suis de ceux qui considèrent que les agents immobiliers ne devraient pas avoir ce droit,"
